gw,player_id,name,team,position,position_id,cost,prob_of_appearing,xp,squad,lineup,captain,vice_captain,transfer_in,transfer_out
24,101,Flekken,BRE,GKP,1,4.5,0.95,3.77,1.0,1.0,0.0,0.0,1.0,0.0
24,5,Gabriel,ARS,DEF,2,5.0,0.93,3.88,1.0,1.0,0.0,0.0,1.0,0.0
24,112,Pinnock,BRE,DEF,2,4.6,0.94,3.77,1.0,1.0,0.0,0.0,0.0,0.0
24,129,Dunk,BHA,DEF,2,5.0,0.94,3.04,1.0,1.0,0.0,0.0,0.0,0.0
24,19,Saka,ARS,MID,3,9.0,0.94,6.14,1.0,1.0,1.0,0.0,0.0,0.0
24,664,Ward-Prowse,WHU,MID,3,6.0,0.94,5.43,1.0,1.0,0.0,0.0,0.0,0.0
24,14,Ødegaard,ARS,MID,3,8.5,0.93,5.41,1.0,1.0,0.0,0.0,0.0,0.0
24,526,Bowen,WHU,MID,3,8.0,0.94,4.75,1.0,1.0,0.0,0.0,0.0,0.0
24,117,Toney,BRE,FWD,4,8.1,0.94,5.64,1.0,1.0,0.0,1.0,0.0,0.0
24,60,Watkins,AVL,FWD,4,8.8,0.94,5.18,1.0,1.0,0.0,0.0,0.0,0.0
24,343,J.Alvarez,MCI,FWD,4,6.9,0.94,4.99,1.0,1.0,0.0,0.0,0.0,0.0
24,275,Leno,FUL,GKP,1,4.8,0.95,3.76,1.0,0.0,0.0,0.0,0.0,0.0
24,369,Walker,MCI,DEF,2,5.5,0.79,4.38,1.0,0.0,0.0,0.0,0.0,0.0
24,342,Aké,MCI,DEF,2,5.0,0.88,4.21,1.0,0.0,0.0,0.0,0.0,0.0
24,126,Caicedo,CHE,MID,3,4.5,0.9,2.68,1.0,0.0,0.0,0.0,0.0,0.0
24,230,Johnstone,CRY,GKP,1,4.5,0.1,3.48,0.0,0.0,0.0,0.0,0.0,1.0
24,430,Trippier,NEW,DEF,2,6.8,0.87,4.97,0.0,0.0,0.0,0.0,0.0,1.0
25,101,Flekken,BRE,GKP,1,4.5,0.95,6.67,1.0,1.0,0.0,0.0,0.0,0.0
25,112,Pinnock,BRE,DEF,2,4.6,0.94,6.09,1.0,1.0,0.0,0.0,0.0,0.0
